model,measure(%),walk,bike,bus,car,train,plane,accuracy(%)
DT,Precision,85.9,85.9,72.0,66.3,60.7,100,78.8
DT,Recall,87.4,82.4,68.3,67.8,63.5,100,78.8
DT,F-Score,86.6,84.1,70.1,67.0,62.0,100,78.8
RF,Precision,89.2,93.6,80.2,79.7,80.4,100,86.5
RF,Recall,95.7,86.7,78.7,73.0,72.6,96.8,86.5
RF,F-Score,92.3,90.0,79.5,76.2,76.3,98.4,86.5
Adaboost,Precision,86.9,86.6,70.9,64.9,58.3,100,78.9
Adaboost,Recall,87.4,83.9,68.5,66.4,62.4,96.9,78.9
Adaboost,F-Score,87.1,85.2,69.7,65.6,60.3,98.4,78.9
Bagging,Precision,89.0,94.0,80.0,75.1,80.4,100,85.7
Bagging,Recall,95.7,85.9,76.5,72.8,68.5,96.0,85.7
Bagging,F-Score,92.2,89.8,78.2,73.9,74.0,98.0,85.7
GBDT,Precision,89.4,91.8,80.5,76.8,81.5,95.0,85.9
GBDT,Recall,94.9,86.7,77.2,72.8,73.6,100.85.9
GBDT,F-Score,92.0,89.2,78.8,74.7,77.3,97.4.85.9
XGBoost,Precision,85.1,92.5,73.1,63.9,80.4,100,81.4
XGBoost,Recall,94.5,74.6,73.7,70.1,39.6,100,81.4
XGBoost,F-Score,89.5,82.6,73.4,66.9,53.1,100,81.4
